"98001","Auburn","WA","47.303722","-122.26608","-8","1"
"98002","Auburn","WA","47.304221","-122.21602","-8","1"
"98003","Federal Way","WA","47.311072","-122.31188","-8","1"
"98004","Bellevue","WA","47.618371","-122.20308","-8","1"
"98005","Bellevue","WA","47.611021","-122.16858","-8","1"
"98006","Bellevue","WA","47.562975","-122.1526","-8","1"
"98007","Bellevue","WA","47.610935","-122.14104","-8","1"
"98008","Bellevue","WA","47.609222","-122.1155","-8","1"
"98009","Bellevue","WA","47.432251","-121.803388","-8","1"
"98010","Black Diamond","WA","47.317802","-122.01479","-8","1"
"98011","Bothell","WA","47.751471","-122.20257","-8","1"
"98012","Bothell","WA","47.84311","-122.20457","-8","1"
"98013","Burton","WA","47.432251","-121.803388","-8","1"
"98014","Carnation","WA","47.648232","-121.91265","-8","1"
"98015","Bellevue","WA","47.432251","-121.803388","-8","1"
"98019","Duvall","WA","47.7353","-121.96222","-8","1"
"98020","Edmonds","WA","47.803668","-122.37096","-8","1"
"98021","Bothell","WA","47.790653","-122.22021","-8","1"
"98022","Enumclaw","WA","47.193729","-121.91915","-8","1"
"98023","Federal Way","WA","47.309021","-122.36178","-8","1"
"98024","Fall City","WA","47.565642","-121.88638","-8","1"
"98025","Hobart","WA","47.430704","-121.88496","-8","1"
"98026","Edmonds","WA","47.821568","-122.33651","-8","1"
"98027","Issaquah","WA","47.522828","-122.02921","-8","1"
"98028","Kenmore","WA","47.75287","-122.24736","-8","1"
"98029","Issaquah","WA","47.572401","-122.02065","-8","1"
"98030","Kent","WA","47.369098","-122.192276","-8","1"
"98031","Kent","WA","47.388461","-122.19644","-8","1"
"98032","Kent","WA","47.388254","-122.25932","-8","1"
"98033","Kirkland","WA","47.67903","-122.1934","-8","1"
"98034","Kirkland","WA","47.71828","-122.19702","-8","1"
"98035","Kent","WA","47.432251","-121.803388","-8","1"
"98036","Lynnwood","WA","47.808816","-122.28394","-8","1"
"98037","Lynnwood","WA","47.848237","-122.28348","-8","1"
"98038","Maple Valley","WA","47.381989","-122.03553","-8","1"
"98039","Medina","WA","47.626571","-122.2328","-8","1"
"98040","Mercer Island","WA","47.569271","-122.23233","-8","1"
"98041","Bothell","WA","47.432251","-121.803388","-8","1"
"98042","Kent","WA","47.363382","-122.11451","-8","1"
"98043","Mountlake Terrace","WA","47.790969","-122.30539","-8","1"
"98045","North Bend","WA","47.483057","-121.73254","-8","1"
"98046","Lynnwood","WA","48.037258","-121.682271","-8","1"
"98047","Pacific","WA","47.26619","-122.24463","-8","1"
"98050","Preston","WA","47.536015","-121.931195","-8","1"
"98051","Ravensdale","WA","47.359414","-121.88657","-8","1"
"98052","Redmond","WA","47.677471","-122.12138","-8","1"
"98053","Redmond","WA","47.640972","-122.03318","-8","1"
"98054","Redondo","WA","47.432251","-121.803388","-8","1"
"98055","Renton","WA","47.467422","-122.21005","-8","1"
"98056","Renton","WA","47.510739","-122.18372","-8","1"
"98057","Renton","WA","47.432251","-121.803388","-8","1"
"98058","Renton","WA","47.448322","-122.14584","-8","1"
"98059","Renton","WA","47.493031","-122.14169","-8","1"
"98060","Seattle","WA","47.432251","-121.803388","-8","1"
"98061","Rollingbay","WA","47.680763","-122.576199","-8","1"
"98062","Seahurst","WA","47.432251","-121.803388","-8","1"
"98063","Federal Way","WA","47.432251","-121.803388","-8","1"
"98064","Kent","WA","47.432251","-121.803388","-8","1"
"98065","Snoqualmie","WA","47.530639","-121.83053","-8","1"
"98067","Bellevue","WA","47.617634","-122.140193","-8","1"
"98068","Snoqualmie Pass","WA","47.397811","-121.39603","-8","1"
"98070","Vashon","WA","47.416198","-122.46821","-8","1"
"98071","Auburn","WA","47.432251","-121.803388","-8","1"
"98072","Woodinville","WA","47.758786","-122.10205","-8","1"
"98073","Redmond","WA","47.432251","-121.803388","-8","1"
"98074","Sammamish","WA","47.625364","-122.045347","-8","1"
"98075","Sammamish","WA","47.584879","-122.033685","-8","1"
"98082","Bothell","WA","47.432251","-121.803388","-8","1"
"98083","Kirkland","WA","47.432251","-121.803388","-8","1"
"98092","Auburn","WA","47.297285","-122.16328","-8","1"
"98093","Federal Way","WA","47.311041","-122.113791","-8","1"
"98101","Seattle","WA","47.61067","-122.33438","-8","1"
"98102","Seattle","WA","47.63287","-122.32253","-8","1"
"98103","Seattle","WA","47.671346","-122.34166","-8","1"
"98104","Seattle","WA","47.60252","-122.32855","-8","1"
"98105","Seattle","WA","47.66377","-122.30118","-8","1"
"98106","Seattle","WA","47.53282","-122.35443","-8","1"
"98107","Seattle","WA","47.66747","-122.37468","-8","1"
"98108","Seattle","WA","47.546188","-122.31514","-8","1"
"98109","Seattle","WA","47.630648","-122.34675","-8","1"
"98110","Bainbridge Island","WA","47.65526","-122.53508","-8","1"
"98111","Seattle","WA","47.432251","-121.803388","-8","1"
"98112","Seattle","WA","47.629653","-122.29752","-8","1"
"98113","Shoreline","WA","47.763669","-122.35384","-8","1"
"98114","Seattle","WA","47.432251","-121.803388","-8","1"
"98115","Seattle","WA","47.68382","-122.30122","-8","1"
"98116","Seattle","WA","47.57487","-122.39392","-8","1"
"98117","Seattle","WA","47.685919","-122.37838","-8","1"
"98118","Seattle","WA","47.543348","-122.27496","-8","1"
"98119","Seattle","WA","47.63877","-122.36694","-8","1"
"98121","Seattle","WA","47.61487","-122.34578","-8","1"
"98122","Seattle","WA","47.61157","-122.30406","-8","1"
